Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI_Plus_PAN_1_S10,JOI_Plus_PAN_2_S11,JOI_Plus_PAN_3_S12,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000157765.13,SLC34A2,322.7943813,161.4357359,1.78E-08,5.15E-06,0.055559129,0.060076568,0,326.322046,314.6237221,327.5530114,322.8329265,0.038545232,8375.430824,13.03194769
ENSG00000108551.5,RASD1,312.6089982,255.9604453,1.49E-05,0.000163316,106.3546364,101.8052188,90.80798352,441.8722364,411.2866787,383.6359182,412.2649444,99.65594622,4.136882545,2.048543997
ENSG00000176903.5,PNMA1,310.8667065,247.850537,7.43E-08,8.74E-06,90.57384957,95.80919657,90.8685051,405.2765879,411.040488,393.5345948,403.2838902,92.41718375,4.363732738,2.125562745
ENSG00000277224.2,H2BC7,308.2986077,158.4151075,1.07E-07,1.05E-05,2.85581354,6.176031945,3.765565381,305.4756405,323.9185396,308.2990539,312.5644114,4.265803622,73.2721051,6.19519216
ENSG00000177606.8,JUN,296.1361834,170.2466688,2.01E-08,5.44E-06,21.33535324,20.50675793,24.69362017,325.6115752,314.0816944,315.2510118,318.3147605,22.17857711,14.35235267,3.843215341
ENSG00000137331.12,IER3,291.60919,159.6192198,4.82E-07,2.20E-05,11.38517665,15.04664375,15.01205398,310.6080427,315.1364537,290.526948,305.4238148,13.8146248,22.10873037,4.466544274
ENSG00000145632.15,PLK2,287.8856793,156.0472936,7.75E-08,8.90E-06,9.983753474,14.99377681,11.33583161,301.3650815,307.6082775,290.9970408,299.9901333,12.10445396,24.78345031,4.631305146
ENSG00000242732.4,RTL5,287.3045536,184.4259847,1.43E-06,4.06E-05,39.91464267,37.76504342,44.64143766,344.3859422,311.9702759,327.8785665,328.0782615,40.77370792,8.04631902,3.008328939
ENSG00000278828.1,H3C10,286.1029511,177.3838136,2.17E-08,5.44E-06,35.89505976,34.33514284,32.76681145,313.8101618,326.6319042,320.8638012,320.4352891,34.33233801,9.333337245,3.222393026
ENSG00000158406.5,H4C8,272.3185093,140.3789687,1.89E-07,1.35E-05,5.104188783,3.909435912,3.645517468,287.9816008,269.0467306,272.5863387,276.5382234,4.219714055,65.53482529,6.034189855
ENSG00000087074.8,PPP1R15A,251.6989717,167.8762255,5.83E-06,8.97E-05,38.49303814,38.06968564,49.51749528,273.8883998,310.9736843,296.31505,293.7257113,42.02673969,6.989019694,2.805090112
ENSG00000030582.18,GRN,251.427115,281.6470055,2.13E-07,1.44E-05,155.9831478,158.5647688,153.2524275,409.3068358,415.4208762,397.3539768,407.360563,155.933448,2.61240015,1.385375896
ENSG00000187193.9,MT1X,250.9976009,156.4912997,2.57E-07,1.60E-05,33.62154076,38.49380883,20.86214798,283.6708835,284.8770011,277.4224157,281.9901001,30.99249919,9.098656367,3.185653513
ENSG00000167995.17,BEST1,244.459322,304.8705585,9.85E-08,1.00E-05,178.038435,187.7345052,182.1497523,425.9695287,421.5757409,433.7553889,427.1002195,182.6408975,2.33846978,1.225564785
ENSG00000124216.4,SNAI1,244.3442572,209.980922,5.63E-06,8.79E-05,89.04607433,87.84561165,86.53469412,333.4988476,350.4536319,312.5066723,332.1530506,87.80879337,3.782685513,1.919410838
ENSG00000133639.6,BTG1,241.2317009,263.9320685,7.10E-07,2.74E-05,140.4492073,138.273692,151.2257548,373.4956943,388.3681045,391.779958,384.5479189,143.3162181,2.683212857,1.423961507
ENSG00000205542.11,TMSB4X,234.505332,542.0788817,2.33E-05,0.000216839,397.5136039,436.8099194,440.1551239,668.4262776,655.3393897,654.2289758,659.3315477,424.8262157,1.552002968,0.634131316
ENSG00000127528.6,KLF2,230.2630004,120.5169722,4.55E-06,7.60E-05,7.078866309,3.827219796,5.250329762,231.7848582,254.2975219,220.863037,235.6484723,5.385471956,43.75632708,5.451419738
ENSG00000198355.5,PIM3,230.1247377,310.4831358,3.09E-05,0.000261405,220.124898,194.4412938,171.6961091,430.8714794,431.4785072,414.2865273,425.5455046,195.420767,2.17758589,1.122729624
ENSG00000197019.5,SERTAD1,223.6504882,115.4768184,5.55E-07,2.41E-05,3.877784961,5.031699051,2.045238963,229.5497092,236.3775251,215.9789533,227.3020625,3.651574325,62.24768889,5.959948369
ENSG00000186298.12,PPP1CC,219.1230387,326.8390932,6.02E-06,9.14E-05,217.032989,205.9401304,228.859602,426.1463387,432.0207925,451.0347063,436.4006125,217.2775738,2.008493582,1.006113851
ENSG00000172201.12,ID4,214.260669,122.7295376,1.54E-07,1.21E-05,14.50265874,12.2394933,20.05545737,226.5888054,237.2789205,225.7118905,229.8598721,15.59920314,14.73535988,3.881210391
ENSG00000196787.3,H2AC11,213.4031236,133.6966277,6.39E-08,8.10E-06,29.60145928,30.36686285,21.01687558,237.1077237,244.0106842,240.0761607,240.3981895,26.9950659,8.905264036,3.154658387
ENSG00000264364.3,DYNLL2,213.2625383,251.7226541,9.95E-07,3.38E-05,144.2397833,143.9350632,147.0993083,361.7834245,345.8056096,367.4727356,358.3539233,145.0913849,2.469849767,1.30442329
ENSG00000164442.10,CITED2,207.173283,128.0878733,0.000116362,0.000651925,27.64170263,22.09202701,23.76996585,224.9685136,265.9392425,204.1157885,231.6745149,24.50123183,9.455627231,3.241173161
ENSG00000067082.15,KLF6,204.9944055,189.2535306,1.04E-05,0.000128273,86.62101336,86.10729354,87.54067664,276.7496379,286.4051271,312.0974352,291.7507334,86.75632785,3.362875546,1.749695388
ENSG00000138166.6,DUSP5,202.9496978,109.2751729,6.11E-08,7.99E-06,7.1434109,7.99525791,8.26230314,217.379614,206.3307086,208.5397428,210.7500218,7.800323983,27.01811133,4.755854923
ENSG00000107372.13,ZFAND5,202.2565269,245.3949563,1.90E-06,4.66E-05,143.3133717,138.8014367,150.6852702,339.0913611,341.4729584,359.0053398,346.5232198,144.2666929,2.401962732,1.264213767
ENSG00000095739.11,BAMBI,196.8239082,103.870252,7.65E-08,8.88E-06,5.038617731,5.107782274,6.228493724,195.6033965,204.2328949,207.010327,202.2822061,5.45829791,37.05957598,5.21177447
ENSG00000108654.16,DDX5,196.8071219,1129.420672,0.002954625,0.007978995,1022.674122,994.0555032,1076.321707,1220.754299,1184.062385,1278.656013,1227.824233,1031.017111,1.190886378,0.252035773
ENSG00000197746.14,PSAP,195.9775519,267.5789065,8.52E-08,9.35E-06,169.6660446,171.1251715,167.9791755,361.4418099,362.9415067,372.3197306,365.5676824,169.5901305,2.155595265,1.108086323
ENSG00000135002.12,RFK,195.4567476,156.8469045,1.44E-06,4.08E-05,49.56958026,60.17166711,67.61434457,252.093377,262.2012483,249.4312095,254.5752783,59.11853065,4.306184127,2.106410009
ENSG00000196747.4,H2AC13,191.7692652,123.5480498,7.94E-05,0.000499204,47.53254664,22.02743799,13.43026698,198.0926438,222.0799003,238.1255029,219.4326824,27.6634172,7.932233417,2.987727131
ENSG00000132002.9,DNAJB1,180.5619539,118.4821146,1.59E-08,4.95E-06,28.37372783,28.73791337,27.49177192,212.7579313,205.0977785,208.4335649,208.7630916,28.20113771,7.402647856,2.888041401
ENSG00000067560.14,RHOA,179.0875733,232.3073241,1.44E-07,1.16E-05,144.1748929,142.2175264,141.8981932,324.4039055,314.8524009,326.2970259,321.8511108,142.7635375,2.254434966,1.172765893
